"ID","L1_Phon.Comment","L1_Phon.nMark","L1_Phon.nSpike","L1_Phon.nExtreme","L1_Phon.N","L1_Phon.peak_LI","L1_Phon.peak_latency","L1_Phon.peak_se","L1_Phon.peak_laterality","L1_Phon.peak_odd","L1_Phon.peak_even","L1_Phon.mean_LI","L1_Phon.mean_se","L1_Phon.mean_laterality","L1_Phon.mean_odd","L1_Phon.mean_even","L1_Phon.exclusions","L1_Sem.Comment","L1_Sem.nMark","L1_Sem.nSpike","L1_Sem.nExtreme","L1_Sem.N","L1_Sem.peak_LI","L1_Sem.peak_latency","L1_Sem.peak_se","L1_Sem.peak_laterality","L1_Sem.peak_odd","L1_Sem.peak_even","L1_Sem.mean_LI","L1_Sem.mean_se","L1_Sem.mean_laterality","L1_Sem.mean_odd","L1_Sem.mean_even","L1_Sem.exclusions"
6,"NA Trigger channel started in 'up' position.",20,4,0,19,2.329,18.68,0.457,"L",3.057,1.519,1.316,0.467,"L",2.057,0.493,0,"NA Trigger channel started in 'up' position.",20,0,0,20,2.087,17.08,0.602,"L",1.495,2.679,1.307,0.523,"L",0.35,2.264,0
7,"NA Trigger channel started in 'up' position.",20,0,0,19,-4.175,6.04,0.901,"R",-4.17,-4.18,-3.609,0.724,"R",-3.471,-3.763,0,"NA Trigger channel started in 'up' position.",20,8,28,15,-3.425,19.96,1.649,"R",-3.376,-3.48,-2.572,1.052,"R",-1.44,-3.866,1
8,"NA Trigger channel started in 'up' position.",20,0,0,20,5.128,10.84,0.592,"L",6.137,4.119,4.334,0.446,"L",5.019,3.649,0,"NA Trigger channel started in 'up' position.",20,0,0,20,3.332,14.68,0.747,"L",3.722,2.941,2.783,0.599,"L",2.894,2.672,0
12,"NA Trigger channel started in 'up' position.",20,0,0,18,2.881,16.12,0.913,"L",4.943,0.819,1.723,0.559,"L",3.196,0.25,0,"NA Trigger channel started in 'up' position.",20,0,0,20,1.176,6.44,1.028,"bilat",0.962,1.389,0.187,0.859,"bilat",0.118,0.256,0
15,"NA Trigger channel started in 'up' position.",20,0,0,20,2.877,18.6,0.432,"L",2.494,3.26,1.449,0.424,"L",0.943,1.955,0,"NA Trigger channel started in 'up' position.",20,0,0,20,3.039,16.84,0.528,"L",2.923,3.156,1.993,0.479,"L",2.437,1.549,0
16,NA,20,0,0,20,5.452,19.88,0.711,"L",4.981,5.923,3.185,0.597,"L",1.793,4.577,0,NA,20,0,0,20,4.858,17.08,0.901,"L",3.416,6.3,3.702,0.766,"L",2.29,5.115,0
17,"NA Trigger channel started in 'up' position.",20,0,0,20,3.85,7,0.684,"L",4.122,3.578,3.007,0.436,"L",3.074,2.94,0,"NA Trigger channel started in 'up' position.",20,0,0,20,3.289,7.24,0.609,"L",3.49,3.088,2.711,0.46,"L",3.214,2.207,0
18,NA,20,0,0,20,3.839,17.08,0.591,"L",3.853,3.825,2.81,0.416,"L",2.982,2.639,0,NA,20,0,0,20,2.656,18.76,0.595,"L",2.874,2.438,1.471,0.529,"L",2.086,0.855,0
19,"NA Trigger channel started in 'up' position.",20,0,0,20,3.446,19.32,0.789,"L",3.061,3.83,2.818,0.508,"L",2.709,2.928,0,"NA Trigger channel started in 'up' position.",20,7,0,19,3.436,17.4,0.641,"L",4.405,2.36,2.632,0.626,"L",3.78,1.357,0
20,NA,20,0,0,20,5.279,10.68,0.855,"L",5.526,5.031,4.658,0.7,"L",5.08,4.236,0,NA,20,3,0,20,4.84,17.72,1.191,"L",5.364,4.316,3.486,0.892,"L",3.62,3.353,0
22,"NA Trigger channel started in 'up' position.",20,0,0,20,3.451,11.64,0.666,"L",3.53,3.372,2.482,0.401,"L",2.552,2.413,0,"NA Trigger channel started in 'up' position.",20,3,0,19,2.201,11.88,0.513,"L",1.948,2.481,1.361,0.317,"L",1.283,1.446,0
23,"NA Trigger channel started in 'up' position.",20,0,0,19,3.249,11.4,0.667,"L",2.878,3.662,2.443,0.614,"L",2.331,2.567,0,"NA Trigger channel started in 'up' position.",20,0,0,19,1.679,6.92,0.492,"L",1.563,1.808,0.851,0.337,"L",1.153,0.516,0
24,"NA Trigger channel started in 'up' position.",20,0,0,18,2.481,14.68,0.395,"L",2.656,2.306,1.437,0.426,"L",1.328,1.546,0,"NA Trigger channel started in 'up' position.",20,3,10,18,2.933,14.92,0.865,"L",3.834,2.031,2.255,0.608,"L",2.992,1.518,0
25,NA,20,1,0,20,2.155,16.28,0.697,"L",3.239,1.072,1.291,0.602,"L",2.504,0.078,0,NA,20,0,0,20,1.925,17.8,0.679,"L",2.343,1.507,1.316,0.557,"L",1.965,0.667,0
26,"NA Trigger channel started in 'up' position.",20,0,0,20,1.021,15.48,0.398,"L",0.835,1.206,0.339,0.355,"bilat",0.042,0.636,0,"NA Trigger channel started in 'up' position.",20,0,36,19,-1.721,5.96,0.672,"R",-1.88,-1.545,-0.089,0.6,"bilat",0.098,-0.297,0
30,"NA Trigger channel started in 'up' position.",20,0,0,20,2.828,16.92,0.736,"L",2.633,3.023,1.981,0.604,"L",1.887,2.075,0,"NA Trigger channel started in 'up' position.",20,2,0,20,2.011,19.96,0.568,"L",1.136,2.887,1.225,0.555,"L",-0.159,2.609,0
31,"NA Trigger channel started in 'up' position.",20,0,0,20,1.24,10.76,0.407,"L",0.582,1.897,0.913,0.289,"L",0.43,1.396,0,"NA Trigger channel started in 'up' position.",20,0,10,19,2.728,17.48,0.397,"L",2.297,3.206,1.586,0.34,"L",1.224,1.989,0
